City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,komusan il-tong,42.1092,129.7,17.65,87,5,5.28,KP,1707678178
262,zaozersk,69.4005,32.4476,-1.73,95,100,4.76,RU,1707678179
263,kishanganj,26.1167,87.9333,59.43,41,18,6.02,IN,1707678180
264,vila velha,-20.3297,-40.2925,85.95,77,20,4.0,BR,1707678181
265,lere,10.387,8.5726,82.13,17,27,5.77,NG,1707678182
266,kapa'a,22.0752,-159.319,73.09,75,0,1.48,US,1707678183
267,srivardhan,18.0333,73.0167,72.09,62,6,5.48,IN,1707678184
268,plastun,44.7561,136.2939,11.75,83,15,6.85,RU,1707678070
269,beira,-19.8436,34.8389,86.09,74,75,14.97,MZ,1707678186
270,puerto deseado,-47.7503,-65.8938,65.05,49,100,27.22,AR,1707678187
271,djebeniana,35.035,10.9081,60.6,51,100,15.79,TN,1707678188
272,san andres,12.5847,-81.7006,86.02,70,40,16.11,CO,1707678189
273,badger,64.8,-147.5333,19.31,92,100,9.22,US,1707678047
274,kasongo-lunda,-6.4667,16.8167,75.25,84,97,2.8,CD,1707678191
275,gulf shores,30.246,-87.7008,76.57,93,100,9.22,US,1707677936
276,nova vicosa,-17.8919,-39.3719,87.57,54,37,9.19,BR,1707678194
277,dudinka,69.4058,86.1778,-29.33,97,29,1.99,RU,1707678195
278,saipan,15.1355,145.701,78.37,70,100,17.81,MP,1707678196
279,khandyga,62.6667,135.6,-39.89,98,41,2.71,RU,1707678197
280,windhoek,-22.5594,17.0832,73.42,64,85,1.99,NA,1707677921
281,grenada,37.1882,-3.6067,52.92,91,40,1.14,ES,1707678199
282,pangody,65.85,74.4859,-20.0,100,100,10.76,RU,1707678200
283,nogliki,51.8333,143.1667,-7.65,100,47,5.01,RU,1707678201
284,kalmunai,7.4167,81.8167,77.43,81,40,10.74,LK,1707678202
285,zhaqsy,51.9083,67.3133,-4.61,96,6,10.54,KZ,1707678203
286,tabou,4.423,-7.3528,82.33,84,100,8.52,CI,1707678204
287,kamyzyak,46.11,48.0736,33.78,100,100,11.18,RU,1707678206
288,egilsstadir,65.2653,-14.3948,31.91,93,100,17.27,IS,1707678207
289,barranca,-10.75,-77.7667,80.58,69,89,12.82,PE,1707678208
290,mossel bay,-34.1831,22.146,69.73,84,19,19.37,ZA,1707678209
291,seydi,39.4816,62.9137,52.27,47,0,9.64,TM,1707678210
292,lower hutt,-41.2167,174.9167,53.24,87,14,6.91,NZ,1707678212
293,walvis bay,-22.9575,14.5053,68.95,73,29,2.3,NA,1707678213
294,jinan,36.6683,116.9972,44.96,55,0,10.11,CN,1707678214
295,westport,41.1415,-73.3579,48.47,58,100,3.0,US,1707678093
296,new kingman-butler,35.265,-114.0323,44.83,43,0,8.05,US,1707678216
297,oltiariq,40.3919,71.4742,42.55,39,17,2.24,UZ,1707678218
298,viana do castelo,41.6932,-8.8329,53.1,94,100,13.33,PT,1707678219
299,diu,20.7141,70.9822,70.81,42,97,5.01,IN,1707678220
300,pokrovsk,48.282,37.1758,48.29,82,100,14.05,UA,1707678221
301,fort bragg,35.139,-79.006,66.81,85,100,12.66,US,1707678223
302,kharp,66.8014,65.8081,-16.69,98,44,12.62,RU,1707678224
303,rawson,-43.3002,-65.1023,86.05,20,100,15.88,AR,1707678128
304,cacule,-14.5033,-42.2222,80.51,59,100,7.11,BR,1707678226
305,viedma,-40.8135,-62.9967,96.46,17,4,18.63,AR,1707678033
306,jever,53.5833,7.9,46.44,100,100,4.61,DE,1707677995
307,kas,36.2018,29.6377,56.48,76,100,13.04,TR,1707678229
308,oruro,-17.9833,-67.15,63.09,45,75,6.91,BO,1707678230
